Id,Neighborhood,BldgType,HouseStyle,GrLivArea,TotRmsAbvGrd,SalePrice
1,CollgCr,1Fam,2Story,1710,8,208500
2,Veenker,1Fam,1Story,1262,6,181500
3,CollgCr,1Fam,2Story,1786,6,223500
4,Crawfor,1Fam,2Story,1717,7,140000
5,NoRidge,1Fam,2Story,2198,9,250000
6,Mitchel,1Fam,1.5Fin,1362,5,143000
7,Somerst,1Fam,1Story,1694,7,307000
8,NWAmes,1Fam,2Story,2090,7,200000
9,OldTown,1Fam,1.5Fin,1774,8,129900
10,BrkSide,2fmCon,1.5Unf,1077,5,118000
11,Sawyer,1Fam,1Story,1040,5,129500
12,NridgHt,1Fam,2Story,2324,11,345000
13,Sawyer,1Fam,1Story,912,4,144000
14,CollgCr,1Fam,1Story,1494,7,279500
15,NAmes,1Fam,1Story,1253,5,157000
16,BrkSide,1Fam,1.5Unf,854,5,132000
17,NAmes,1Fam,1Story,1004,5,149000
18,Sawyer,Duplex,1Story,1296,6,90000
19,SawyerW,1Fam,1Story,1114,6,159000
20,NAmes,1Fam,1Story,1339,6,139000
21,NridgHt,1Fam,2Story,2376,9,325300
22,IDOTRR,1Fam,1.5Unf,1108,6,139400
23,CollgCr,1Fam,1Story,1795,7,230000
24,MeadowV,TwnhsE,1Story,1060,6,129900
25,Sawyer,1Fam,1Story,1060,6,154000
26,NridgHt,1Fam,1Story,1600,7,256300
27,NAmes,1Fam,1Story,900,5,134800
28,NridgHt,1Fam,1Story,1704,7,306000
29,NAmes,1Fam,1Story,1600,6,207500
30,BrkSide,1Fam,1Story,520,4,68500
31,IDOTRR,1Fam,2Story,1317,6,40000
32,Sawyer,1Fam,1Story,1228,6,149350
33,CollgCr,1Fam,1Story,1234,7,179900
34,NAmes,1Fam,1Story,1700,6,165500
35,NridgHt,TwnhsE,1Story,1561,6,277500
36,NridgHt,1Fam,2Story,2452,9,309000
37,CollgCr,1Fam,1Story,1097,6,145000
38,NAmes,1Fam,1Story,1297,5,153000
39,NAmes,1Fam,1Story,1057,5,109000
40,Edwards,Duplex,1Story,1152,6,82000
41,NAmes,1Fam,1Story,1324,6,160000
42,Timber,1Fam,1Story,1328,5,170000
43,SawyerW,1Fam,SFoyer,884,5,144000
44,CollgCr,1Fam,1Story,938,5,130250
45,NAmes,1Fam,1Story,1150,6,141000
46,NridgHt,TwnhsE,1Story,1752,6,319900
47,Mitchel,1Fam,1.5Fin,2149,6,239686
48,Somerst,1Fam,1Story,1656,7,249700
49,OldTown,2fmCon,2Story,1452,8,113000
50,Sawyer,1Fam,1Story,955,6,127000
51,Gilbert,1Fam,2Story,1470,6,177000
52,BrkSide,1Fam,1.5Fin,1176,6,114500
53,IDOTRR,Duplex,1Story,816,5,110000
54,Veenker,1Fam,1Story,1842,5,385000
55,NAmes,1Fam,SLvl,1360,6,130000
56,NAmes,1Fam,1Story,1425,7,180500
57,Somerst,Twnhs,2Story,1739,7,172500
58,CollgCr,1Fam,2Story,1720,7,196500
59,StoneBr,1Fam,2Story,2945,10,438780
60,CollgCr,1Fam,1Story,780,4,124900
61,SawyerW,1Fam,1Story,1158,5,158000
62,IDOTRR,1Fam,2.5Unf,1111,6,101000
63,NridgHt,TwnhsE,1Story,1370,6,202500
64,OldTown,1Fam,2Story,1710,9,140000
65,CollgCr,1Fam,2Story,2034,8,219500
66,NridgHt,1Fam,2Story,2473,9,317000
67,NAmes,1Fam,1Story,2207,7,180000
68,CollgCr,1Fam,1Story,1479,7,226000
69,OldTown,1Fam,1Story,747,4,80000
70,ClearCr,1Fam,1.5Fin,2287,7,225000
71,NAmes,1Fam,1Story,2223,8,244000
72,Mitchel,1Fam,1Story,845,4,129500
73,Gilbert,1Fam,2Story,1718,7,185000
74,NAmes,1Fam,1Story,1086,6,144900
75,OldTown,1Fam,2Story,1605,8,107400
76,MeadowV,Twnhs,SLvl,988,5,91000
77,NAmes,1Fam,1Story,952,4,135750
78,BrkSide,1Fam,1.5Fin,1285,6,127000
79,Sawyer,Duplex,1Story,1768,8,136500
80,OldTown,1Fam,2Story,1230,5,110000
81,NAmes,1Fam,2Story,2142,8,193500
82,Mitchel,TwnhsE,1Story,1337,5,153500
83,Somerst,1Fam,1Story,1563,6,245000
84,NAmes,1Fam,1Story,1065,6,126500
85,Gilbert,1Fam,SLvl,1474,7,168500
86,NoRidge,1Fam,2Story,2417,9,260000
87,Gilbert,1Fam,2Story,1560,6,174000
88,Somerst,TwnhsE,2Story,1224,4,164500
89,IDOTRR,1Fam,1.5Fin,1526,6,85000
90,CollgCr,1Fam,1Story,990,5,123600
91,NAmes,1Fam,1Story,1040,4,109900
92,NAmes,1Fam,1Story,1235,6,98600
93,Crawfor,1Fam,1Story,964,5,163500
94,OldTown,2fmCon,2.5Unf,2291,9,133900
95,CollgCr,1Fam,2Story,1786,7,204750
96,Gilbert,1Fam,2Story,1470,6,185000
97,CollgCr,1Fam,1Story,1588,6,214000
98,Edwards,1Fam,1Story,960,6,94750
99,Edwards,1Fam,1Story,835,5,83000
100,NAmes,1Fam,1Story,1225,6,128950
101,NWAmes,1Fam,1Story,1610,6,205000
102,SawyerW,1Fam,2Story,1732,7,178000
103,SawyerW,Duplex,1Story,1535,8,118964
104,CollgCr,1Fam,1Story,1226,6,198900
105,IDOTRR,1Fam,1.5Fin,1818,7,169500
106,Somerst,1Fam,2Story,1992,9,250000
107,OldTown,1Fam,1Story,1047,6,100000
108,OldTown,1Fam,1Story,789,5,115000
109,IDOTRR,1Fam,1.5Fin,1517,7,115000
110,NWAmes,1Fam,1Story,1844,7,190000
111,Edwards,1Fam,1.5Fin,1855,7,136900
112,Gilbert,1Fam,SLvl,1430,7,180000
113,CollgCr,1Fam,2Story,2696,10,383970
114,Crawfor,1Fam,1Story,2259,7,217000
115,Crawfor,1Fam,2Story,2320,9,259500
116,Somerst,TwnhsE,2Story,1458,5,176000
117,Sawyer,1Fam,1Story,1092,6,139000
118,Edwards,1Fam,1Story,1125,5,155000
119,SawyerW,1Fam,2Story,3222,11,320000
120,CollgCr,1Fam,2Story,1456,8,163990
121,ClearCr,1Fam,SLvl,988,4,180000
122,IDOTRR,1Fam,1.5Fin,1123,4,100000
123,NAmes,1Fam,1Story,1080,5,136000
124,SawyerW,TwnhsE,1Story,1199,5,153900
125,NWAmes,1Fam,1Story,1586,7,181000
126,IDOTRR,2fmCon,1.5Fin,754,5,84500
127,NPkVill,TwnhsE,1Story,958,5,128000
128,OldTown,1Fam,1.5Unf,840,5,87000
129,NAmes,1Fam,2Story,1348,6,155000
130,NAmes,1Fam,1Story,1053,6,150000
131,NAmes,1Fam,2Story,2157,8,226000
132,Gilbert,1Fam,2Story,2054,7,244000
133,NAmes,1Fam,1Story,1327,7,150750
134,Timber,1Fam,1Story,1296,6,220000
135,Sawyer,1Fam,1Story,1721,7,180000
136,NWAmes,1Fam,1Story,1682,7,174000
137,NAmes,1Fam,1Story,1214,5,143000
138,Mitchel,Duplex,1Story,1959,9,171000
139,CollgCr,1Fam,2Story,1852,7,230000
140,CollgCr,1Fam,2Story,1764,7,231500
141,NAmes,1Fam,1Story,864,5,115000
142,CollgCr,1Fam,1Story,1734,7,260000
143,NAmes,1Fam,1.5Fin,1385,6,166000
144,CollgCr,1Fam,1Story,1501,6,204000
145,Sawyer,Duplex,1Story,1728,10,125000
146,Edwards,Twnhs,2Story,1709,7,130000
147,BrkSide,1Fam,1Story,875,5,105000
148,Gilbert,1Fam,2Story,2035,8,222500
149,SawyerW,1Fam,1Story,1080,6,141000
150,BrkSide,1Fam,1.5Fin,1344,7,115000
151,CollgCr,1Fam,1Story,969,5,122000
152,NridgHt,1Fam,1Story,1710,6,372402
153,NWAmes,1Fam,2Story,1993,8,190000
154,ClearCr,1Fam,1Story,1252,4,235000
155,OldTown,1Fam,1Story,1200,7,125000
156,Edwards,1Fam,1.5Fin,1096,5,79000
157,NAmes,1Fam,1Story,1040,5,109500
158,Timber,1Fam,2Story,1968,8,269500
159,Somerst,1Fam,2Story,1947,8,254900
160,Gilbert,1Fam,2Story,2462,9,320000
161,Veenker,1Fam,1Story,1232,6,162500
162,NridgHt,1Fam,2Story,2668,10,412500
163,NridgHt,1Fam,1Story,1541,7,220000
164,OldTown,1Fam,1.5Unf,882,4,103200
165,OldTown,1Fam,1Story,1616,5,152000
166,Edwards,2fmCon,1.5Fin,1355,6,127500
167,ClearCr,1Fam,1Story,1867,7,190000
168,NridgHt,1Fam,2Story,2161,8,325624
169,Gilbert,1Fam,2Story,1720,7,183500
170,Timber,1Fam,1Story,1707,6,228000
171,OldTown,1Fam,1.5Fin,1382,7,128500
172,NAmes,1Fam,1Story,1656,7,215000
173,StoneBr,TwnhsE,2Story,1767,5,239000
174,NAmes,1Fam,1Story,1362,6,163000
175,Timber,1Fam,1Story,1651,7,184000
176,Edwards,1Fam,1Story,2158,7,243000
177,ClearCr,1Fam,2Story,2060,8,211000
178,Sawyer,1Fam,1.5Fin,1920,8,172500
179,StoneBr,1Fam,1Story,2234,9,501837
180,OldTown,1Fam,1Story,968,5,100000
181,Somerst,Twnhs,2Story,1525,5,177000
182,Crawfor,1Fam,2Story,1802,9,200100
183,Edwards,1Fam,1Story,1340,7,120000
184,OldTown,1Fam,1.5Fin,2082,6,200000
185,BrkSide,1Fam,1.5Fin,1252,5,127000
186,OldTown,1Fam,2.5Fin,3608,12,475000
187,Mitchel,1Fam,SLvl,1217,6,173000
188,OldTown,1Fam,1.5Fin,1656,8,135000
189,SawyerW,Duplex,SFoyer,1224,6,153337
190,StoneBr,TwnhsE,1Story,1593,5,286000
191,Crawfor,1Fam,2Story,2727,10,315000
192,NAmes,1Fam,2Story,1479,7,184000
193,CollgCr,1Fam,1Story,1431,6,192000
194,Edwards,Twnhs,2Story,1709,7,130000
195,CollgCr,1Fam,1Story,864,5,127000
196,NPkVill,Twnhs,2Story,1456,7,148500
197,Somerst,1Fam,1Story,1726,8,311872
198,NAmes,1Fam,2Story,3112,8,235000
199,OldTown,1Fam,2.5Fin,2229,8,104000
200,NridgHt,1Fam,1Story,1713,7,274900
201,Edwards,1Fam,1Story,1121,5,140000
202,Mitchel,1Fam,1Story,1279,6,171500
203,OldTown,1Fam,1.5Fin,1310,6,112000
204,CollgCr,TwnhsE,1Story,848,3,149000
205,OldTown,1Fam,1.5Fin,1284,5,110000
206,Gilbert,1Fam,1Story,1442,5,180500
207,Sawyer,1Fam,1Story,1696,8,143900
208,NAmes,1Fam,1Story,1100,6,141000
209,SawyerW,1Fam,2Story,2062,7,277000
210,NAmes,1Fam,1Story,1092,6,145000
211,Edwards,1Fam,1Story,864,5,98000
212,Edwards,1Fam,1Story,1212,6,186000
213,Somerst,1Fam,2Story,1852,7,252678
214,CollgCr,1Fam,1Story,990,5,156000
215,CollgCr,1Fam,2Story,1392,6,161750
216,NAmes,1Fam,1Story,1236,6,134450
217,CollgCr,1Fam,1Story,1436,8,210000
218,OldTown,1Fam,2Story,1328,8,107000
219,Crawfor,1Fam,1.5Fin,1954,8,311500
220,Blmngtn,TwnhsE,1Story,1248,5,167240
221,CollgCr,1Fam,1Story,1498,5,204900
222,Gilbert,1Fam,2Story,2267,8,200000
223,NWAmes,1Fam,2Story,1552,6,179900
224,NAmes,1Fam,1Story,864,4,97000
225,NridgHt,1Fam,1Story,2392,8,386250
226,BrDale,Twnhs,2Story,1302,6,112000
227,NoRidge,1Fam,2Story,2520,9,290000
228,BrDale,Twnhs,2Story,987,5,106000
229,Sawyer,1Fam,1Story,912,5,125000
230,Blmngtn,TwnhsE,1Story,1555,7,192500
231,NAmes,1Fam,1Story,1194,6,148000
232,NoRidge,1Fam,2Story,2794,9,403000
233,BrDale,Twnhs,2Story,987,5,94500
234,CollgCr,1Fam,1Story,894,5,128200
235,Gilbert,1Fam,2Story,1960,8,216500
236,BrDale,TwnhsE,2Story,987,5,89500
237,CollgCr,1Fam,1Story,1414,6,185500
238,SawyerW,1Fam,2Story,1744,7,194500
239,NridgHt,1Fam,1Story,1694,7,318000
240,Edwards,1Fam,1.5Fin,1487,7,113000
241,Somerst,1Fam,1Story,1566,7,262500
242,OldTown,1Fam,1Story,866,4,110500
243,OldTown,1Fam,1.5Fin,1440,6,79000
244,SawyerW,TwnhsE,2Story,1217,6,120000
245,SawyerW,1Fam,2Story,2110,8,205000
246,NWAmes,1Fam,1Story,1872,6,241500
247,OldTown,2fmCon,2Story,1928,9,137000
248,NAmes,1Fam,1Story,1375,5,140000
249,CollgCr,1Fam,2Story,1668,8,180000
250,ClearCr,1Fam,1.5Fin,2144,7,277000
251,BrkSide,1Fam,1Story,1306,6,76500
252,Crawfor,TwnhsE,1Story,1625,5,235000
253,SawyerW,1Fam,2Story,1640,6,173000
254,NAmes,1Fam,SLvl,1302,7,158000
255,NAmes,1Fam,1Story,1314,5,145000
256,Gilbert,1Fam,2Story,2291,8,230000
257,Somerst,1Fam,2Story,1728,7,207500
258,CollgCr,1Fam,1Story,1604,8,220000
259,CollgCr,1Fam,2Story,1792,7,231500
260,OldTown,1Fam,1Story,882,4,97000
261,NAmes,1Fam,SLvl,1382,6,176000
262,CollgCr,1Fam,2Story,2574,10,276000
263,Sawyer,1Fam,SLvl,1212,6,151000
264,OldTown,1Fam,1.5Fin,1316,6,130000
265,OldTown,1Fam,1Story,764,4,73000
266,NWAmes,1Fam,1Story,1422,7,175500
267,Gilbert,1Fam,2Story,1511,8,185000
268,SWISU,1Fam,2.5Fin,2192,8,179500
269,IDOTRR,1Fam,1Story,778,4,120500
270,Edwards,1Fam,1Story,1113,6,148000
271,Somerst,1Fam,2Story,1939,8,266000
272,ClearCr,1Fam,1Story,1363,5,241500
273,NoRidge,1Fam,2Story,2270,9,290000
274,NAmes,1Fam,1Story,1632,6,139000
275,Mitchel,1Fam,1Story,816,5,124500
276,BrkSide,1Fam,1.5Fin,1548,5,205000
277,Mitchel,1Fam,1Story,1560,7,201000
278,Gilbert,1Fam,1Story,864,4,141000
279,NridgHt,1Fam,1Story,2121,8,415298
280,ClearCr,1Fam,2Story,2022,8,192000
281,SawyerW,1Fam,2Story,1982,7,228500
282,Somerst,1Fam,1Story,1262,5,185000
283,NridgHt,Twnhs,1Story,1314,6,207500
284,Somerst,1Fam,1Story,1468,6,244600
285,SawyerW,TwnhsE,1Story,1575,5,179200
286,Somerst,TwnhsE,2Story,1250,5,164700
287,NAmes,1Fam,1.5Fin,1734,7,159000
288,NAmes,1Fam,1Story,858,5,88000
289,Sawyer,1Fam,1Story,900,5,122000
290,BrkSide,1Fam,2Story,1396,7,153575
291,CollgCr,1Fam,2Story,1919,8,233230
292,SWISU,2fmCon,2Story,1716,9,135900
293,Edwards,1Fam,1.5Fin,1716,8,131000
294,NWAmes,1Fam,2Story,2263,9,235000
295,NAmes,1Fam,1Story,1644,7,167000
296,Mitchel,1Fam,SLvl,1003,6,142500
297,IDOTRR,1Fam,1.5Fin,1558,6,152000
298,Somerst,1Fam,2Story,1950,7,239000
299,NWAmes,1Fam,2Story,1743,7,175000
300,Crawfor,1Fam,1Story,1152,6,158500
301,Crawfor,2fmCon,1Story,1336,5,157000
302,CollgCr,1Fam,2Story,2452,9,267000
303,CollgCr,1Fam,1Story,1541,6,205000
304,CollgCr,1Fam,1Story,894,5,149900
305,OldTown,1Fam,2.5Fin,3493,10,295000
306,CollgCr,1Fam,1Story,2000,8,305900
307,SawyerW,1Fam,2Story,2243,8,225000
308,IDOTRR,1Fam,1.5Fin,1406,6,89500
309,Edwards,1Fam,1Story,861,4,82500
310,NridgHt,1Fam,1Story,1944,8,360000
311,Gilbert,1Fam,2Story,1501,6,165600
312,NAmes,1Fam,1Story,972,5,132000
313,OldTown,2fmCon,1.5Fin,1118,5,119900
314,Timber,1Fam,1Story,2036,8,375000
315,OldTown,1Fam,2Story,1641,6,178000
316,Gilbert,1Fam,2Story,1432,6,188500
317,NWAmes,1Fam,2Story,2353,10,260000
318,Somerst,1Fam,2Story,1959,8,270000
319,NoRidge,1Fam,2Story,2646,9,260000
320,NWAmes,1Fam,SLvl,1472,6,187500
321,NridgHt,1Fam,2Story,2596,9,342643
322,NridgHt,1Fam,2Story,2468,10,354000
323,SawyerW,1Fam,2Story,2730,8,301000
324,OldTown,1Fam,1Story,1163,6,126175
325,NAmes,1Fam,SLvl,2978,11,242000
326,IDOTRR,1Fam,1.5Unf,803,5,87000
327,Veenker,TwnhsE,1Story,1719,6,324000
328,NAmes,1Fam,1Story,1383,7,145250
329,BrkSide,1Fam,2.5Unf,2134,10,214500
330,IDOTRR,1Fam,2Story,1192,6,78000
331,NAmes,Duplex,1Story,1728,10,119000
332,NAmes,1Fam,1Story,1056,6,139000
333,NridgHt,1Fam,1Story,1629,7,284000
334,NridgHt,TwnhsE,1Story,1358,6,207000
335,Gilbert,1Fam,2Story,1638,7,192000
336,Timber,2fmCon,1.5Fin,1786,7,228950
337,StoneBr,1Fam,1Story,1922,8,377426
338,CollgCr,1Fam,1Story,1536,7,214000
339,NWAmes,1Fam,1Story,1621,8,202500
340,NAmes,1Fam,1Story,1215,6,155000
341,Timber,1Fam,2Story,1908,9,202900
342,SawyerW,1Fam,1Story,841,4,82000
343,NAmes,Duplex,1Story,1040,6,87500
344,NridgHt,TwnhsE,1Story,1684,6,266000
345,MeadowV,TwnhsE,2Story,1112,4,85000
346,BrkSide,1Fam,1.5Fin,1577,6,140200
347,NAmes,1Fam,1Story,958,5,151500
348,NAmes,1Fam,1Story,1478,6,157500
349,NridgHt,Twnhs,2Story,1626,6,154000
350,NridgHt,1Fam,2Story,2728,10,437154
351,NridgHt,TwnhsE,1Story,1869,6,318061
352,ClearCr,1Fam,1Story,1453,6,190000
353,Edwards,1Fam,1.5Fin,1111,5,95000
354,OldTown,1Fam,1Story,720,5,105900
355,SWISU,1Fam,1.5Fin,1595,6,140000
356,CollgCr,1Fam,1Story,1200,6,177500
357,Gilbert,1Fam,1Story,1167,6,173000
358,MeadowV,TwnhsE,1Story,1142,6,134000
359,ClearCr,1Fam,SLvl,1352,6,130000
360,NoRidge,1Fam,2Story,1924,7,280000
361,Mitchel,1Fam,SFoyer,912,5,156000
362,BrkSide,1Fam,1.5Fin,1505,8,145000
363,Edwards,1Fam,SFoyer,1922,7,198500
364,BrDale,Twnhs,2Story,987,5,118000
365,NWAmes,1Fam,2Story,1574,6,190000
366,IDOTRR,1Fam,2Story,1344,6,147000
367,NAmes,1Fam,1Story,1394,6,159000
368,NAmes,1Fam,SLvl,1431,6,165000
369,NAmes,1Fam,1Story,1268,7,132000
370,NAmes,1Fam,1Story,1287,7,162000
371,Gilbert,1Fam,2Story,1664,7,172400
372,ClearCr,1Fam,1.5Fin,1588,7,134432
373,SawyerW,TwnhsE,1Story,752,4,125000
374,NAmes,1Fam,1Story,1319,5,123000
375,CollgCr,1Fam,2Story,1928,8,219500
376,Edwards,1Fam,1Story,904,4,61000
377,CollgCr,1Fam,SFoyer,914,5,148000
378,Somerst,1Fam,2Story,2466,8,340000
379,StoneBr,1Fam,1Story,1856,8,394432
380,Gilbert,1Fam,2Story,1800,7,179000
381,SWISU,1Fam,1.5Fin,1691,6,127000
382,Somerst,1Fam,1Story,1301,5,187750
383,CollgCr,1Fam,2Story,1797,8,213500
384,SawyerW,1Fam,1.5Unf,784,5,76000
385,ClearCr,1Fam,2Story,1953,9,240000
386,Blmngtn,TwnhsE,1Story,1269,6,192000
387,Edwards,1Fam,1.5Fin,1184,8,81000
388,Edwards,1Fam,SLvl,1125,6,125000
389,CollgCr,1Fam,1Story,1479,6,191000
390,NridgHt,1Fam,2Story,2332,9,426000
391,Edwards,1Fam,1.5Fin,1367,7,119000
392,Mitchel,1Fam,2Story,1961,7,215000
393,NAmes,1Fam,1Story,882,5,106500
394,BrkSide,1Fam,1Story,788,4,100000
395,OldTown,1Fam,1.5Fin,1034,5,109000
396,Edwards,1Fam,1Story,1144,6,129000
397,CollgCr,1Fam,1Story,894,6,123000
398,NAmes,1Fam,2Story,1812,8,169500
399,IDOTRR,1Fam,1Story,1077,6,67000
400,Somerst,1Fam,2Story,1550,7,241000
401,Veenker,TwnhsE,1Story,1288,4,245500
402,CollgCr,1Fam,1Story,1310,6,164990
403,Sawyer,1Fam,1Story,672,4,108000
404,NoRidge,1Fam,2Story,2263,10,258000
405,Gilbert,1Fam,2Story,1572,7,168000
406,Sawyer,1Fam,1Story,1620,8,150000
407,SWISU,1Fam,1.5Fin,1639,6,115000
408,Crawfor,1Fam,2Story,1680,8,177000
409,NridgHt,1Fam,2Story,2172,9,280000
410,Somerst,1Fam,2Story,2078,8,339750
411,Edwards,1Fam,1Story,1276,5,60000
412,Gilbert,2fmCon,1Story,1056,5,145000
413,Somerst,1Fam,1Story,1478,7,222000
414,OldTown,1Fam,1Story,1028,5,115000
415,SawyerW,1Fam,2Story,2097,9,228000
416,Gilbert,1Fam,1Story,1340,6,181134
417,Sawyer,1Fam,2Story,1400,6,149500
418,Crawfor,1Fam,2Story,2624,10,239000
419,Edwards,1Fam,1.5Fin,1134,7,126000
420,NAmes,1Fam,1Story,1056,6,142000
421,Mitchel,Duplex,SFoyer,1344,8,206300
422,NWAmes,1Fam,1Story,1602,8,215000
423,Mitchel,1Fam,1Story,988,4,113000
424,NoRidge,1Fam,2Story,2630,8,315000
425,NAmes,1Fam,1Story,1196,6,139000
426,OldTown,1Fam,2Story,1389,6,135000
427,SawyerW,1Fam,SLvl,1644,5,275000
428,NAmes,1Fam,1Story,907,5,109008
429,CollgCr,1Fam,1Story,1208,6,195400
430,Timber,1Fam,1Story,1412,6,175000
431,BrDale,Twnhs,2Story,987,4,85400
432,OldTown,1Fam,1.5Fin,1198,7,79900
433,BrDale,TwnhsE,2Story,1365,6,122500
434,Gilbert,1Fam,2Story,1604,7,181000
435,MeadowV,Twnhs,SFoyer,630,3,81000
436,CollgCr,1Fam,2Story,1661,6,212000
437,OldTown,1Fam,1.5Fin,1118,6,116000
438,BrkSide,1Fam,1.5Unf,904,4,119000
439,Crawfor,1Fam,1Story,694,4,90350
440,Edwards,1Fam,1.5Fin,1196,7,110000
441,NridgHt,1Fam,1Story,2402,10,555000
442,Edwards,Duplex,1Story,1440,8,118000
443,BrkSide,1Fam,1.5Fin,1573,8,162900
444,Blmngtn,TwnhsE,1Story,1258,6,172500
445,CollgCr,1Fam,2Story,1908,8,210000
446,Edwards,1Fam,1Story,1689,7,127500
447,NAmes,1Fam,1Story,1888,6,190000
448,Gilbert,1Fam,2Story,1886,10,199900
449,IDOTRR,1Fam,1.5Fin,1376,7,119500
450,OldTown,1Fam,1.5Fin,1183,6,120000
451,OldTown,1Fam,1Story,813,5,110000
452,ClearCr,1Fam,1Story,1533,5,280000
453,Timber,1Fam,2Story,1756,7,204000
454,Somerst,1Fam,2Story,1590,6,210000
455,Mitchel,Duplex,1Story,1728,8,188000
456,NWAmes,1Fam,1Story,1242,6,175500
457,OldTown,1Fam,2Story,1344,7,98000
458,ClearCr,1Fam,1Story,1663,6,256000
459,OldTown,1Fam,2Story,1666,7,161000
460,BrkSide,1Fam,1.5Fin,1203,5,110000
461,Somerst,1Fam,2Story,1935,8,263435
462,SWISU,1Fam,2Story,1135,6,155000
463,Sawyer,1Fam,1Story,864,5,62383
464,Crawfor,1Fam,2Story,1660,6,188700
465,CollgCr,1Fam,1Story,1040,5,124000
466,Blmngtn,TwnhsE,1Story,1414,6,178740
467,NAmes,1Fam,1Story,1277,5,167000
468,NAmes,1Fam,2Story,1644,7,146500
469,NridgHt,1Fam,1Story,1634,7,250000
470,SawyerW,1Fam,2Story,1710,7,187000
471,StoneBr,TwnhsE,1Story,1502,4,212000
472,NWAmes,1Fam,2Story,1969,8,190000
473,Edwards,TwnhsE,SLvl,1072,5,148000
474,NridgHt,1Fam,1Story,1976,7,440000
475,StoneBr,TwnhsE,1Story,1652,6,251000
476,Sawyer,1Fam,1Story,970,5,132500
477,CollgCr,1Fam,1Story,1493,7,208900
478,NridgHt,1Fam,2Story,2643,9,380000
479,CollgCr,1Fam,1Story,1718,7,297000
480,OldTown,1Fam,1Story,1131,7,89471
481,NridgHt,1Fam,1Story,1850,8,326000
482,NridgHt,1Fam,1Story,1792,6,374000
483,OldTown,1Fam,2Story,1826,7,155000
484,Mitchel,Twnhs,1Story,1216,5,164000
485,Sawyer,1Fam,1Story,999,6,132500
486,NAmes,1Fam,1Story,1113,5,147000
487,NAmes,1Fam,1Story,1073,6,156000
488,NWAmes,1Fam,1Story,1484,7,175000
489,OldTown,2fmCon,1.5Fin,2414,10,160000
490,MeadowV,Twnhs,SFoyer,630,3,86000
