Id,Neighborhood,BldgType,HouseStyle,GrLivArea,TotRmsAbvGrd,SalePrice
491,MeadowV,TwnhsE,2Story,1304,4,115000
492,NAmes,1Fam,1.5Fin,1578,5,133000
493,Gilbert,1Fam,2Story,1456,8,172785
494,NAmes,1Fam,1Story,1269,6,155000
495,OldTown,1Fam,1Story,886,4,91300
496,IDOTRR,1Fam,1Story,720,4,34900
497,NoRidge,1Fam,1Story,3228,10,430000
498,BrkSide,1Fam,1.5Fin,1820,8,184000
499,Sawyer,1Fam,1Story,899,5,130000
500,NAmes,1Fam,1Story,912,5,120000
501,BrDale,Twnhs,2Story,1218,7,113000
502,Somerst,1Fam,2Story,1768,7,226700
503,Edwards,1Fam,1Story,1214,6,140000
504,Crawfor,1Fam,1Story,1801,6,289000
505,NPkVill,TwnhsE,2Story,1322,6,147000
506,OldTown,Duplex,2Story,1960,10,124500
507,SawyerW,1Fam,2Story,1911,8,215000
508,Somerst,1Fam,1Story,1218,4,208300
509,OldTown,1Fam,2Story,1378,7,161000
510,NAmes,1Fam,1Story,1041,6,124500
511,NAmes,1Fam,1Story,1363,6,164900
512,NridgHt,TwnhsE,1Story,1368,6,202665
513,NAmes,1Fam,1Story,864,5,129900
514,Mitchel,1Fam,1Story,1080,5,134000
515,Crawfor,1Fam,1.5Unf,789,5,96500
516,NridgHt,1Fam,1Story,2020,9,402861
517,NWAmes,1Fam,SLvl,2119,7,158000
518,NoRidge,1Fam,2Story,2344,7,265000
519,CollgCr,1Fam,2Story,1796,7,211000
520,Crawfor,1Fam,2Story,2080,9,234000
521,OldTown,2fmCon,2Story,1294,7,106250
522,NAmes,1Fam,1Story,1244,6,150000
523,BrkSide,1Fam,1.5Fin,1664,7,159000
524,Edwards,1Fam,2Story,4676,11,184750
525,NoRidge,1Fam,2Story,2398,8,315750
526,Somerst,1Fam,1Story,1266,6,176000
527,NAmes,1Fam,1Story,928,4,132000
528,NridgHt,1Fam,2Story,2713,11,446261
529,Edwards,1Fam,1Story,605,5,86000
530,Crawfor,1Fam,1Story,2515,9,200624
531,Timber,1Fam,SLvl,1509,5,175000
532,BrkSide,1Fam,2Story,1362,6,128000
533,NAmes,1Fam,1Story,827,5,107500
534,BrkSide,1Fam,1Story,334,2,39300
535,Gilbert,1Fam,2Story,1414,6,178000
536,Edwards,2fmCon,2Story,1347,5,107500
537,CollgCr,1Fam,2Story,1724,8,188000
538,NAmes,1Fam,1Story,864,5,111250
539,Sawyer,1Fam,1Story,1159,7,158000
540,CollgCr,1Fam,1Story,1601,6,272000
541,Timber,1Fam,1Story,1838,8,315000
542,NoRidge,1Fam,2Story,2285,8,248000
543,NWAmes,1Fam,1Story,1680,7,213250
544,NAmes,TwnhsE,SFoyer,767,4,133000
545,Gilbert,1Fam,2Story,1496,7,179665
546,NWAmes,1Fam,1.5Fin,2183,9,229000
547,BrkSide,1Fam,1.5Fin,1635,6,210000
548,Mitchel,1Fam,SFoyer,768,5,129500
549,OldTown,1Fam,1Story,825,4,125000
550,Somerst,1Fam,2Story,2094,8,263000
551,NPkVill,TwnhsE,1Story,1069,4,140000
552,OldTown,1Fam,1Story,928,5,112500
553,NridgHt,1Fam,1Story,1717,7,255500
554,Edwards,1Fam,1Story,1126,5,108000
555,NridgHt,1Fam,2Story,2046,8,284000
556,BrkSide,1Fam,1.5Unf,1048,5,113000
557,NAmes,1Fam,1Story,1092,6,141000
558,IDOTRR,1Fam,1.5Fin,1336,7,108000
559,Gilbert,1Fam,2Story,1446,6,175000
560,Blmngtn,TwnhsE,1Story,1557,7,234000
561,Sawyer,1Fam,1Story,1392,5,121500
562,Mitchel,1Fam,1Story,1389,6,170000
563,Edwards,1Fam,1Story,996,6,108000
564,Edwards,1Fam,1.5Fin,1674,8,185000
565,NoRidge,1Fam,2Story,2295,9,268000
566,SWISU,1Fam,2Story,1647,6,128000
567,StoneBr,1Fam,2Story,2504,11,325000
568,NridgHt,1Fam,1Story,1535,7,214000
569,SawyerW,1Fam,1.5Fin,2132,5,316600
570,NAmes,Duplex,SFoyer,943,4,135960
571,NAmes,Duplex,1Story,1728,10,142600
572,NAmes,1Fam,1Story,864,4,120000
573,Timber,1Fam,2Story,1692,6,224500
574,Gilbert,1Fam,SLvl,1430,8,170000
575,NAmes,1Fam,SLvl,1109,5,139000
576,NAmes,1Fam,1.5Fin,1216,6,118500
577,SWISU,1Fam,1.5Fin,1477,6,145000
578,Sawyer,1Fam,SLvl,1320,6,164500
579,Somerst,TwnhsE,2Story,1392,5,146000
580,OldTown,1Fam,1.5Fin,1795,7,131500
581,NAmes,1Fam,1Story,1429,7,181900
582,NridgHt,1Fam,1Story,2042,8,253293
583,Edwards,Duplex,SFoyer,816,5,118500
584,OldTown,1Fam,2.5Unf,2775,9,325000
585,BrkSide,1Fam,1.5Fin,1573,6,133000
586,Timber,1Fam,1Story,2028,7,369900
587,BrkSide,1Fam,1Story,838,5,130000
588,Sawyer,1Fam,SFoyer,860,4,137000
589,ClearCr,1Fam,1Story,1473,5,143000
590,BrkSide,1Fam,1Story,935,4,79500
591,CollgCr,1Fam,2Story,1582,6,185900
592,NridgHt,1Fam,2Story,2296,10,451950
593,Mitchel,1Fam,1Story,816,4,138000
594,CollgCr,TwnhsE,1Story,848,4,140000
595,CollgCr,1Fam,1Story,924,5,110000
596,StoneBr,1Fam,1Story,1826,7,319000
597,OldTown,1Fam,2Story,1368,7,114504
598,Blmngtn,TwnhsE,1Story,1402,7,194201
599,Crawfor,1Fam,1Story,1647,7,217500
600,Blueste,Twnhs,2Story,1556,6,151000
601,NridgHt,1Fam,2Story,1904,8,275000
602,IDOTRR,1Fam,1.5Fin,1375,6,141000
603,SawyerW,1Fam,2Story,1915,8,220000
604,Somerst,TwnhsE,2Story,1200,4,151000
605,CollgCr,1Fam,1Story,1494,6,221000
606,NAmes,1Fam,2Story,1986,7,205000
607,CollgCr,1Fam,1Story,1040,6,152000
608,Edwards,1Fam,2Story,2008,8,225000
609,Crawfor,1Fam,2Story,3194,10,359100
610,Sawyer,1Fam,1Story,1029,5,118500
611,CollgCr,1Fam,2Story,2153,8,313000
612,NWAmes,1Fam,SLvl,1032,6,148000
613,CollgCr,1Fam,2Story,1872,7,261500
614,Mitchel,1Fam,1Story,1120,6,147000
615,MeadowV,TwnhsE,SFoyer,630,3,75500
616,NAmes,1Fam,SFoyer,1054,6,137500
617,Gilbert,1Fam,2Story,1509,7,183200
618,NAmes,1Fam,1.5Unf,832,4,105500
619,NridgHt,1Fam,1Story,1828,9,314813
620,Timber,1Fam,2Story,2262,10,305000
621,Edwards,1Fam,1Story,864,5,67000
622,NWAmes,1Fam,2Story,2614,9,240000
623,Sawyer,1Fam,1Story,980,6,135000
624,Somerst,TwnhsE,2Story,1512,4,168500
625,NWAmes,1Fam,2Story,1790,8,165150
626,NAmes,1Fam,1Story,1116,5,160000
627,NAmes,1Fam,1Story,1422,6,139900
628,NAmes,1Fam,SLvl,1520,7,153000
629,NAmes,1Fam,2Story,2080,9,135000
630,NAmes,1Fam,SLvl,1350,6,168500
631,OldTown,1Fam,2Story,1750,8,124000
632,NridgHt,Twnhs,1Story,1554,6,209500
633,NWAmes,1Fam,1Story,1411,6,82500
634,NAmes,1Fam,1Story,1056,6,139400
635,OldTown,Duplex,SFoyer,1056,4,144000
636,SWISU,2fmCon,2.5Fin,3395,14,200000
637,BrkSide,1Fam,1Story,800,4,60000
638,OldTown,2fmCon,1.5Fin,1387,7,93000
639,Edwards,1Fam,1Story,796,4,85000
640,Blmngtn,TwnhsE,1Story,1567,7,264561
641,NridgHt,TwnhsE,1Story,1518,6,274000
642,Somerst,1Fam,2Story,1929,7,226000
643,NAmes,1Fam,SLvl,2704,9,345000
644,NWAmes,1Fam,2Story,1620,7,152000
645,Somerst,1Fam,1Story,1766,7,370878
646,NAmes,1Fam,1Story,981,5,143250
647,NAmes,1Fam,1Story,1048,7,98300
648,Edwards,1Fam,1Story,1094,5,155000
649,NAmes,1Fam,2Story,1839,7,155000
650,MeadowV,Twnhs,SFoyer,630,3,84500
651,Somerst,1Fam,2Story,1665,7,205950
652,Edwards,1Fam,2Story,1510,7,108000
653,CollgCr,1Fam,2Story,1716,7,191000
654,IDOTRR,1Fam,1.5Fin,1469,7,135000
655,NoRidge,1Fam,1Story,2113,7,350000
656,BrDale,Twnhs,2Story,1092,6,88000
657,NAmes,1Fam,1Story,1053,5,145500
658,Crawfor,1Fam,2Story,1502,6,149000
659,NAmes,1Fam,1.5Fin,1458,6,97500
660,Edwards,1Fam,1Story,1486,7,167000
661,NWAmes,1Fam,2Story,1935,7,197900
662,NoRidge,1Fam,2Story,2448,8,402000
663,NAmes,1Fam,1Story,1392,5,110000
664,Edwards,1Fam,SFoyer,1181,6,137500
665,Somerst,1Fam,1Story,2097,8,423000
666,Gilbert,1Fam,2Story,1936,7,230500
667,NAmes,1Fam,2Story,2380,7,129000
668,SawyerW,1Fam,1Story,1679,7,193500
669,Sawyer,1Fam,1Story,1437,6,168000
670,Crawfor,1Fam,1Story,1180,5,137500
671,CollgCr,1Fam,2Story,1476,7,173500
672,Edwards,1Fam,2Story,1369,6,103600
673,Veenker,1Fam,1Story,1208,6,165000
674,Crawfor,1Fam,1Story,1839,7,257500
675,NAmes,1Fam,1Story,1136,5,140000
676,NPkVill,Twnhs,2Story,1441,7,148500
677,OldTown,1Fam,2Story,1774,8,87000
678,OldTown,1Fam,1Story,792,5,109500
679,StoneBr,1Fam,1Story,2046,7,372500
680,Sawyer,1Fam,1Story,988,5,128500
681,SawyerW,TwnhsE,1Story,923,5,143000
682,SWISU,1Fam,1.5Fin,1520,6,159434
683,ClearCr,1Fam,1Story,1291,6,173000
684,CollgCr,1Fam,1Story,1668,7,285000
685,NoRidge,1Fam,2Story,1839,7,221000
686,StoneBr,TwnhsE,2Story,2090,6,207500
687,Somerst,1Fam,2Story,1761,7,227875
688,Somerst,TwnhsE,2Story,1102,4,148800
689,StoneBr,1Fam,1Story,1419,7,392000
690,NridgHt,TwnhsE,1Story,1362,6,194700
691,CollgCr,TwnhsE,1Story,848,3,141000
692,NoRidge,1Fam,2Story,4316,10,755000
693,Timber,1Fam,2Story,2519,9,335000
694,OldTown,1Fam,1Story,1073,4,108480
695,BrkSide,1Fam,1.5Fin,1539,5,141500
696,Timber,1Fam,1Story,1137,5,176000
697,BrkSide,1Fam,1Story,616,4,89000
698,Edwards,1Fam,1Story,1148,6,123500
699,Sawyer,1Fam,1Story,894,5,138500
700,Somerst,TwnhsE,1Story,1391,5,196000
701,Timber,1Fam,1Story,1800,7,312500
702,NWAmes,1Fam,1Story,1164,6,140000
703,StoneBr,1Fam,2Story,2576,10,361919
704,OldTown,2fmCon,2Story,1812,8,140000
705,CollgCr,1Fam,1Story,1484,7,213000
706,IDOTRR,2fmCon,2Story,1092,7,55000
707,ClearCr,1Fam,1Story,1824,5,302000
708,NridgHt,TwnhsE,1Story,1324,6,254000
709,Gilbert,1Fam,2Story,1456,8,179540
710,Sawyer,1Fam,1Story,904,6,109900
711,BrkSide,1Fam,1Story,729,5,52000
712,IDOTRR,1Fam,1.5Fin,1178,7,102776
713,StoneBr,TwnhsE,1Story,1228,5,189000
714,BrkSide,2fmCon,1Story,960,6,129000
715,Sawyer,1Fam,2Story,1479,6,130500
716,NWAmes,1Fam,1Story,1350,7,165000
717,OldTown,1Fam,2Story,2554,8,159500
718,NWAmes,1Fam,1Story,1178,5,157000
719,NoRidge,1Fam,2Story,2418,9,341000
720,CollgCr,1Fam,1Story,971,5,128500
721,StoneBr,1Fam,1Story,1742,5,275000
722,CollgCr,TwnhsE,1Story,848,3,143000
723,NAmes,1Fam,1Story,864,5,124500
724,Edwards,1Fam,1.5Fin,1470,7,135000
725,Edwards,1Fam,1Story,1698,8,320000
726,NAmes,1Fam,1Story,864,5,120500
727,Crawfor,1Fam,1Story,1680,5,222000
728,CollgCr,1Fam,1Story,1232,6,194500
729,NAmes,Duplex,1Story,1776,9,110000
730,IDOTRR,1Fam,1.5Fin,1208,5,103000
731,StoneBr,TwnhsE,1Story,1616,5,236500
732,Timber,1Fam,SLvl,1146,6,187500
733,CollgCr,1Fam,2Story,2031,8,222500
734,Sawyer,1Fam,1Story,1144,6,131400
735,Sawyer,1Fam,1Story,948,6,108000
736,OldTown,1Fam,2.5Unf,1768,6,163000
737,NAmes,Duplex,1Story,1040,6,93500
738,Gilbert,1Fam,2Story,1801,8,239900
739,Edwards,Duplex,1Story,1200,5,179000
740,CollgCr,1Fam,2Story,1728,7,190000
741,OldTown,1Fam,2Story,1432,7,132000
742,Sawyer,1Fam,1Story,912,5,142000
743,SawyerW,1Fam,1Story,1349,6,179000
744,Sawyer,1Fam,SLvl,1464,6,175000
745,StoneBr,TwnhsE,1Story,1337,5,180000
746,NWAmes,1Fam,2Story,2715,11,299800
747,Gilbert,1Fam,2Story,2256,8,236000
748,OldTown,1Fam,2Story,2640,8,265979
749,NoRidge,1Fam,1Story,1720,7,260400
750,Edwards,1Fam,1.5Fin,1529,9,98000
751,OldTown,1Fam,1.5Fin,1140,7,96500
752,Gilbert,1Fam,2Story,1320,6,162000
753,CollgCr,1Fam,1Story,1494,6,217000
754,NridgHt,1Fam,2Story,2098,8,275500
755,NAmes,1Fam,1Story,1026,5,156000
756,Somerst,TwnhsE,2Story,1471,6,172500
757,CollgCr,1Fam,2Story,1768,7,212000
758,Sawyer,1Fam,2Story,1386,6,158900
759,Somerst,Twnhs,2Story,1501,6,179400
760,NoRidge,1Fam,2Story,2531,9,290000
761,NAmes,1Fam,1Story,864,5,127500
762,BrkSide,1Fam,1Story,1301,5,100000
763,Somerst,1Fam,2Story,1547,7,215200
764,NoRidge,1Fam,2Story,2365,8,337000
765,Veenker,TwnhsE,1Story,1494,6,270000
766,Somerst,1Fam,1Story,1506,6,264132
767,NWAmes,1Fam,2Story,1714,7,196500
768,Mitchel,1Fam,1.5Fin,1750,7,160000
769,CollgCr,1Fam,1Story,1836,8,216837
770,StoneBr,1Fam,2Story,3279,12,538000
771,Sawyer,1Fam,SFoyer,858,5,134900
772,Edwards,1Fam,1Story,1220,6,102000
773,Edwards,1Fam,SLvl,1117,6,107000
774,NAmes,1Fam,1Story,912,5,114500
775,NridgHt,1Fam,1Story,1973,9,395000
776,Mitchel,TwnhsE,1Story,1204,5,162000
777,CollgCr,1Fam,1Story,1614,7,221500
778,Sawyer,1Fam,1Story,894,5,142500
779,SawyerW,Duplex,1Story,2020,10,144000
780,Mitchel,Duplex,SFoyer,1004,4,135000
781,Gilbert,1Fam,1Story,1253,6,176000
782,SawyerW,1Fam,2Story,1603,7,175900
783,CollgCr,1Fam,1Story,1430,6,187100
784,Mitchel,1Fam,SFoyer,1110,4,165500
785,OldTown,1Fam,2.5Unf,1484,9,128000
786,NWAmes,1Fam,1Story,1342,7,161500
787,OldTown,1Fam,1.5Fin,1652,7,139000
788,SawyerW,1Fam,2Story,2084,8,233000
789,OldTown,1Fam,1Story,901,4,107900
790,ClearCr,1Fam,2Story,2087,9,187500
791,Blmngtn,TwnhsE,1Story,1145,5,160200
792,Mitchel,1Fam,SLvl,1062,5,146800
793,NoRidge,1Fam,2Story,2013,8,269790
794,Somerst,1Fam,1Story,1496,7,225000
795,Gilbert,1Fam,2Story,1895,7,194500
796,SawyerW,1Fam,2Story,1564,7,171000
797,Sawyer,1Fam,1Story,1285,7,143500
798,NAmes,1Fam,1Story,773,4,110000
799,NridgHt,1Fam,2Story,3140,11,485000
800,SWISU,1Fam,1.5Fin,1768,7,175000
801,ClearCr,1Fam,2Story,1688,8,200000
802,IDOTRR,1Fam,1Story,1196,5,109900
803,CollgCr,1Fam,2Story,1456,7,189000
804,NridgHt,1Fam,2Story,2822,12,582933
805,NAmes,1Fam,1Story,1128,5,118000
806,Somerst,1Fam,1Story,1428,6,227680
807,NAmes,1Fam,SLvl,980,6,135500
808,BrkSide,1Fam,2Story,1576,6,223500
809,NAmes,1Fam,SLvl,1086,6,159950
810,OldTown,1Fam,2.5Unf,2138,11,106000
811,NWAmes,1Fam,1Story,1309,5,181000
812,CollgCr,TwnhsE,1Story,848,4,144500
813,IDOTRR,1Fam,1Story,1044,4,55993
814,NAmes,1Fam,1Story,1442,7,157900
815,Edwards,1Fam,1.5Fin,1250,7,116000
816,CollgCr,1Fam,1Story,1661,6,224900
817,NAmes,1Fam,1Story,1008,4,137000
818,Mitchel,1Fam,1Story,1689,7,271000
819,ClearCr,1Fam,SLvl,1052,6,155000
820,NridgHt,TwnhsE,1Story,1358,6,224000
821,CollgCr,1Fam,2Story,1640,6,183000
822,OldTown,2fmCon,1Story,936,4,93000
823,Gilbert,1Fam,2Story,1733,7,225000
824,SWISU,1Fam,1.5Fin,1489,7,139500
825,Somerst,1Fam,1Story,1489,7,232600
826,NridgHt,1Fam,1Story,2084,7,385000
827,BrkSide,1Fam,1.5Unf,784,5,109500
828,SawyerW,1Fam,1Story,1434,6,189000
829,ClearCr,1Fam,2Story,2126,7,185000
830,Somerst,Twnhs,2Story,1223,4,147400
831,NAmes,1Fam,1Story,1392,6,166000
832,Somerst,TwnhsE,2Story,1200,4,151000
833,CollgCr,1Fam,2Story,1829,7,237000
834,NAmes,1Fam,1Story,1516,6,167000
835,NAmes,1Fam,1Story,1144,6,139950
836,Sawyer,1Fam,1Story,1067,4,128000
837,OldTown,1Fam,1Story,1559,5,153500
838,BrDale,Twnhs,2Story,987,5,100000
839,CollgCr,1Fam,1Story,1099,6,144000
840,Edwards,1Fam,1.5Fin,1200,6,130500
841,SWISU,1Fam,2Story,1482,7,140000
842,OldTown,1Fam,2Story,1539,8,157500
843,NAmes,1Fam,SLvl,1165,6,174900
844,NAmes,Duplex,1Story,1800,10,141000
845,OldTown,1Fam,1.5Fin,1416,7,153900
846,Sawyer,1Fam,SFoyer,1701,6,171000
847,SawyerW,1Fam,2Story,1775,7,213000
848,CollgCr,1Fam,1Story,864,5,133500
849,ClearCr,1Fam,1.5Fin,2358,10,240000
850,Veenker,1Fam,SLvl,1855,7,187000
851,CollgCr,TwnhsE,1Story,848,3,131500
852,Blmngtn,TwnhsE,1Story,1456,7,215000
853,Crawfor,1Fam,2.5Unf,1646,7,164000
854,NAmes,1Fam,SLvl,1445,7,158000
855,Sawyer,1Fam,1Story,1779,6,170000
856,Sawyer,1Fam,1Story,1040,6,127000
857,CollgCr,1Fam,SLvl,1026,5,147000
858,Gilbert,1Fam,2Story,1481,6,174000
859,NWAmes,1Fam,1Story,1370,6,152000
860,NWAmes,1Fam,2Story,2654,9,250000
861,Crawfor,1Fam,1.5Fin,1426,7,189950
862,Sawyer,2fmCon,1Story,1039,6,131500
863,SawyerW,1Fam,1Story,1097,6,152000
864,NAmes,1Fam,1Story,1148,6,132500
865,Somerst,1Fam,1Story,1372,6,250580
866,NAmes,1Fam,1Story,1002,5,148500
867,Timber,1Fam,1Story,1646,6,248900
868,Sawyer,1Fam,1Story,1120,5,129000
869,Gilbert,1Fam,2Story,2320,7,169000
870,SawyerW,1Fam,2Story,1949,8,236000
871,NAmes,1Fam,1Story,894,5,109500
872,CollgCr,1Fam,2Story,1682,7,200500
873,NAmes,1Fam,1Story,910,5,116000
874,NAmes,1Fam,1Story,1268,6,133000
875,OldTown,1Fam,1.5Fin,1131,5,66500
876,Somerst,1Fam,2Story,2610,11,303477
877,Mitchel,1Fam,1Story,1040,5,132250
878,NridgHt,1Fam,2Story,2224,10,350000
879,Sawyer,1Fam,SFoyer,1155,6,148000
880,CollgCr,1Fam,1Story,864,6,136500
881,Edwards,1Fam,1Story,1090,5,157000
882,Timber,1Fam,1.5Fin,1717,7,187500
883,Gilbert,1Fam,2Story,1593,7,178000
884,SWISU,1Fam,2.5Fin,2230,10,118500
885,NAmes,1Fam,1Story,892,5,100000
886,Somerst,TwnhsE,1Story,1709,5,328900
887,NAmes,Duplex,1Story,1712,8,145000
888,Edwards,1Fam,1.5Fin,1393,8,135500
889,NAmes,1Fam,1Story,2217,8,268000
890,NAmes,1Fam,1Story,1505,6,149500
891,NAmes,1Fam,1.5Fin,924,6,122900
892,Sawyer,1Fam,2Story,1683,7,172500
893,Sawyer,1Fam,1Story,1068,6,154500
894,Sawyer,1Fam,1Story,1383,6,165000
895,SawyerW,Duplex,1Story,1535,8,118858
896,NAmes,1Fam,2Story,1796,8,140000
897,IDOTRR,1Fam,1Story,951,6,106500
898,SawyerW,Duplex,2Story,2240,12,142953
899,NridgHt,1Fam,1Story,2364,11,611657
900,Sawyer,1Fam,1Story,1236,6,135000
901,NAmes,1Fam,1Story,858,4,110000
902,NAmes,1Fam,1Story,1306,5,153000
903,Gilbert,1Fam,2Story,1509,8,180000
904,Gilbert,1Fam,1Story,1670,7,240000
905,Sawyer,1Fam,1Story,902,6,125500
906,NAmes,1Fam,1Story,1063,6,128000
907,Somerst,1Fam,1Story,1636,8,255000
908,Crawfor,1Fam,1.5Fin,2057,6,250000
909,Mitchel,1Fam,1Story,902,5,131000
910,Gilbert,1Fam,2Story,1484,8,174000
911,NAmes,Duplex,2Story,2274,12,154300
912,CollgCr,1Fam,1Story,1268,5,143500
913,BrkSide,1Fam,1Story,1015,6,88000
914,Crawfor,Duplex,2Story,2002,8,145000
915,Somerst,TwnhsE,2Story,1224,4,173733
916,MeadowV,Twnhs,2Story,1092,6,75000
917,IDOTRR,1Fam,1Story,480,4,35311
918,Edwards,1Fam,1Story,1229,6,135000
919,SawyerW,1Fam,2Story,2127,8,238000
920,NAmes,1Fam,1Story,1414,6,176500
921,SawyerW,1Fam,2Story,1721,7,201000
922,Edwards,Duplex,1.5Fin,2200,9,145900
923,Gilbert,1Fam,1Story,1316,6,169990
924,SawyerW,TwnhsE,1Story,1617,5,193000
925,NWAmes,1Fam,1Story,1686,7,207500
926,NWAmes,1Fam,1Story,1126,6,175000
927,NridgHt,1Fam,2Story,2374,10,285000
928,NWAmes,1Fam,2Story,1978,9,176000
929,CollgCr,1Fam,1Story,1788,7,236500
930,Gilbert,1Fam,2Story,2236,8,222000
931,Timber,1Fam,1Story,1466,7,201000
932,NAmes,1Fam,1Story,925,5,117500
933,Somerst,1Fam,1Story,1905,8,320000
934,CollgCr,1Fam,1Story,1500,6,190000
935,NAmes,1Fam,1Story,2069,9,242000
936,BrkSide,1Fam,1Story,747,5,79900
937,SawyerW,1Fam,1Story,1200,5,184900
938,Somerst,1Fam,2Story,1971,8,253000
939,CollgCr,1Fam,2Story,1962,7,239799
940,ClearCr,1Fam,2Story,2403,10,244400
941,Mitchel,Duplex,1Story,1728,8,150900
942,Gilbert,1Fam,2Story,2060,8,214000
943,Edwards,Duplex,1Story,1440,8,150000
944,Mitchel,Duplex,1Story,1632,8,143000
945,Timber,1Fam,SLvl,1344,7,137500
946,OldTown,1Fam,1.5Fin,1869,7,124900
947,NAmes,1Fam,SLvl,1144,6,143000
948,Timber,1Fam,1Story,1629,9,270000
949,CollgCr,1Fam,2Story,1776,7,192500
950,NWAmes,1Fam,1Story,1381,5,197500
951,NAmes,1Fam,1Story,864,5,129000
952,SawyerW,1Fam,1Story,965,6,119900
953,CollgCr,1Fam,SFoyer,768,5,133900
954,Mitchel,1Fam,2Story,1968,7,172000
955,Edwards,Duplex,SFoyer,980,4,127500
956,Crawfor,Duplex,2Story,1958,8,145000
957,Blueste,TwnhsE,2Story,1229,5,124000
958,Sawyer,1Fam,1Story,1057,6,132000
959,CollgCr,1Fam,1Story,1337,6,185000
960,Somerst,Twnhs,2Story,1416,6,155000
961,BrkSide,1Fam,1Story,858,4,116500
962,NWAmes,1Fam,2Story,2872,11,272000
963,NPkVill,TwnhsE,2Story,1548,7,155000
964,CollgCr,1Fam,1Story,1800,7,239000
965,Timber,1Fam,2Story,1894,8,214900
966,Gilbert,1Fam,2Story,1484,8,178900
967,Crawfor,1Fam,1.5Fin,1308,7,160000
968,NAmes,1Fam,1Story,1098,6,135000
969,OldTown,1Fam,1.5Fin,968,6,37900
970,NAmes,2fmCon,SLvl,1095,6,140000
971,NAmes,1Fam,1.5Fin,1192,6,135000
972,NridgHt,Twnhs,2Story,1626,6,173000
973,SawyerW,TwnhsE,1Story,918,5,99500
974,Somerst,1Fam,1Story,1428,6,182000
975,BrkSide,1Fam,2Story,2019,8,167500
976,Somerst,Twnhs,2Story,1382,6,165000
977,BrkSide,1Fam,1Story,869,4,85500
978,Somerst,TwnhsE,1Story,1241,4,199900
979,Edwards,1Fam,1Story,894,5,110000
980,Sawyer,1Fam,1Story,1121,5,139000
